# Time-averaged data for fix stress_ave
# TimeStep v_strain_z v_strain_x v_strain_y v_stress_z
120000 0.0057275 -0.00280253 0.00362143 -4.49151
121000 0.0057775 -0.00644468 0.00619584 6.04403
122000 0.0058275 -0.00752369 0.00755995 23.4823
123000 0.0058775 -0.00283217 0.00397242 12.8573
124000 0.0059275 -0.00633837 0.00659666 -1.13584
125000 0.0059775 -0.00793576 0.00450302 -34.9078
126000 0.0060275 -0.0055133 0.00478734 9.77375
127000 0.0060775 -0.00665198 0.00428612 -0.493033
128000 0.0061275 -0.00829754 0.0076386 -19.7609
129000 0.0061775 -0.00609474 0.00549367 -70.5013
130000 0.0062275 -0.00169362 0.000798986 15.4267
131000 0.0062775 -0.00921528 0.00856677 19.0634
132000 0.0063275 -0.00572317 0.00749739 -3.51936
133000 0.0063775 -0.00427829 0.00370912 -38.7617
134000 0.0064275 -0.00927132 0.00511483 3.81053
135000 0.0064775 -0.00778402 0.00941267 -11.3333
136000 0.0065275 -0.00489488 0.0061863 -63.7814
137000 0.0065775 -0.0050208 0.00477766 -9.84553
138000 0.0066275 -0.00784448 0.00844272 -15.7007
139000 0.0066775 -0.00579662 0.00537763 -38.7409
140000 0.0067275 -0.00308422 0.000851506 0.196206
141000 0.0067775 -0.00617175 0.00530749 -4.03657
142000 0.0068275 -0.0088189 0.00918916 -34.5765
143000 0.0068775 -0.00523633 0.00546365 -1.83483
144000 0.0069275 -0.0058861 0.00525147 -17.2698
145000 0.0069775 -0.00397812 0.00283753 34.0584
146000 0.0070275 -0.00746869 0.00539523 7.98518
147000 0.0070775 -0.0100898 0.0044359 41.7793
148000 0.0071275 -0.0028793 0.00213381 -45.3874
149000 0.0071775 -0.00571417 0.00462283 -5.23761
150000 0.0072275 -0.0087276 0.00733124 10.3319
151000 0.0072775 -0.00816858 0.00621328 -13.4068
152000 0.0073275 -0.00650882 0.00590379 14.7155
153000 0.0073775 -0.00609627 0.00511742 -4.97313
154000 0.0074275 -0.00763308 0.00777557 -55.9985
155000 0.0074775 -0.00656803 0.00412214 13.2615
156000 0.0075275 -0.00477345 0.00473623 3.72893
